timestamp,stock,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,volume,price_change,OFI_1,OFI_2,OFI_3,OFI_4,OFI_5
2025-01-01 09:30:00,AAPL,137.45,195.07,173.2,159.87,115.6,137.47,195.08,173.23999999999998,159.9,115.64,22,53,2,88,30,38,2,64,60,21,260,-0.39,,,,,
2025-01-01 09:30:01,AAPL,152.48,143.19,129.12,161.19,113.95,152.5,143.21,129.15,161.23,113.97,55,64,3,51,7,21,73,39,18,4,700,0.93,33.0,-71.0,25.0,-37.0,17.0
2025-01-01 09:30:02,AAPL,180.84,130.46,109.77,168.42,144.02,180.85,130.49,109.78,168.47,144.04000000000002,4,2,6,54,4,54,93,63,18,90,655,0.88,-51.0,-20.0,-24.0,3.0,-3.0
2025-01-01 09:30:03,AAPL,189.48,159.79,192.19,108.85,119.6,189.49,159.81,192.22,108.87,119.64,26,89,60,41,29,15,45,65,89,71,620,0.54,22.0,87.0,54.0,-71.0,19.0
2025-01-01 09:30:04,AAPL,119.87,100.55,181.55,170.69,172.9,119.91,100.56,181.57,170.7,172.94,72,12,34,33,48,23,62,88,37,99,783,0.28,-8.0,-17.0,-23.0,-8.0,19.0
2025-01-01 09:30:05,AAPL,188.72,147.22,111.96,171.32,176.08,188.75,147.26,111.99,171.35,176.11,42,77,51,63,96,52,96,4,94,23,330,-0.18,-30.0,65.0,84.0,30.0,48.0
2025-01-01 09:30:06,AAPL,175.56,122.88,107.7,128.98,116.12,175.61,122.92,107.74,129.01999999999998,116.16,44,84,30,62,75,92,89,62,97,1,476,0.3,-40.0,7.0,-58.0,-3.0,22.0
2025-01-01 09:30:07,AAPL,100.05,135.26,130.48,116.47,153.41,100.08,135.29999999999998,130.5,116.49,153.43,32,96,88,52,62,58,52,12,39,2,486,-0.4,34.0,12.0,58.0,58.0,-13.0
2025-01-01 09:30:08,AAPL,128.48,103.69,160.96,150.27,105.15,128.5,103.74,160.98000000000002,150.29000000000002,105.18,32,70,32,68,55,75,56,17,38,24,936,0.26,0.0,-4.0,-56.0,16.0,-22.0
2025-01-01 09:30:09,AAPL,163.35,153.58,109.03,183.53,132.08,163.37,153.59,109.06,183.57,132.09,67,19,20,96,71,52,33,40,39,82,971,-0.72,35.0,-51.0,-23.0,28.0,16.0
2025-01-01 09:30:10,AAPL,134.11,111.35,192.47,187.73,125.79,134.15,111.39,192.5,187.76,125.81,48,12,69,37,32,9,99,19,48,80,230,0.71,43.0,-66.0,49.0,-59.0,2.0
2025-01-01 09:30:11,AAPL,140.45,188.78,185.09,193.56,178.53,140.48999999999998,188.81,185.11,193.61,178.58,18,82,66,54,35,80,61,41,33,68,900,-0.01,-30.0,70.0,-22.0,17.0,3.0
2025-01-01 09:30:12,AAPL,117.88,136.65,174.42,172.09,130.81,117.91,136.68,174.45999999999998,172.11,130.84,51,54,8,27,27,98,21,30,97,28,978,-0.01,-18.0,40.0,11.0,-64.0,40.0
2025-01-01 09:30:13,AAPL,119.52,172.25,128.08,102.43,164.55,119.54,172.3,128.13000000000002,102.48,164.57000000000002,37,24,93,46,53,95,99,60,97,63,352,-0.23,-14.0,-30.0,-30.0,0.0,26.0
2025-01-01 09:30:14,AAPL,185.11,131.69,116.95,155.68,193.62,185.15,131.72,116.96,155.71,193.67,66,27,2,90,17,33,9,43,48,39,576,-0.41,29.0,90.0,17.0,44.0,-36.0
2025-01-01 09:30:15,AAPL,141.98,125.62,161.15,108.16,100.52,142.01999999999998,125.64,161.16,108.19,100.53,87,15,92,98,66,32,87,63,86,51,764,-0.69,1.0,-78.0,90.0,-38.0,-12.0
2025-01-01 09:30:16,AAPL,198.18,183.89,186.04,125.03,103.88,198.2,183.92,186.06,125.07,103.9,5,68,6,96,94,47,99,55,40,52,755,0.95,-82.0,53.0,-86.0,-2.0,28.0
2025-01-01 09:30:17,AAPL,151.63,132.3,179.52,127.08,143.9,151.64,132.31,179.57000000000002,127.12,143.94,1,58,1,34,96,48,89,1,16,61,803,0.11,-1.0,10.0,54.0,-62.0,2.0
2025-01-01 09:30:18,AAPL,161.17,141.96,124.77,135.6,175.78,161.17999999999998,141.97,124.78,135.61,175.82,69,76,16,90,90,48,85,39,33,94,456,-0.2,68.0,18.0,-38.0,56.0,-6.0
2025-01-01 09:30:19,AAPL,161.59,163.51,104.53,137.46,162.59,161.62,163.54999999999998,104.57,137.48000000000002,162.6,2,92,32,91,84,24,12,50,35,33,790,0.64,-67.0,16.0,-11.0,1.0,61.0
2025-01-01 09:30:20,AAPL,162.59,182.04,165.15,120.67,127.4,162.61,182.07,165.16,120.7,127.42,90,8,93,26,74,90,34,7,68,58,600,-0.3,88.0,-84.0,61.0,-33.0,-25.0
2025-01-01 09:30:21,AAPL,193.66,103.92,141.79,196.76,154.8,193.69,103.95,141.82,196.8,154.82000000000002,96,24,23,62,96,37,12,55,13,23,316,-0.52,6.0,22.0,-48.0,36.0,22.0
2025-01-01 09:30:22,AAPL,137.77,153.43,149.66,138.96,129.76,137.78,153.44,149.71,139.0,129.78,28,78,95,52,83,16,69,99,12,25,990,-0.57,21.0,54.0,72.0,1.0,-2.0
2025-01-01 09:30:23,AAPL,194.62,178.13,111.35,193.09,197.42,194.67,178.14,111.39,193.12,197.46,76,9,74,58,17,7,46,13,40,42,492,0.64,48.0,-69.0,86.0,6.0,-66.0
2025-01-01 09:30:24,AAPL,170.62,108.13,108.48,198.66,137.43,170.64,108.17,108.53,198.71,137.47,70,31,19,61,54,39,91,74,90,19,138,-0.13,-32.0,-45.0,-61.0,3.0,23.0
2025-01-01 09:30:25,AAPL,125.37,140.52,157.15,174.1,176.72,125.41,140.56,157.19,174.12,176.75,25,56,33,38,6,58,44,45,32,45,928,-0.35,-19.0,25.0,14.0,58.0,-48.0
2025-01-01 09:30:26,AAPL,104.34,192.46,191.91,125.3,169.54,104.35,192.48,191.93,125.32,169.59,54,3,16,87,57,75,12,74,96,16,457,-0.09,-17.0,-53.0,-17.0,-64.0,29.0
2025-01-01 09:30:27,AAPL,162.01,127.74,118.81,146.37,135.34,162.04,127.75,118.86,146.42000000000002,135.38,17,73,33,84,77,92,29,13,46,35,352,0.88,-37.0,-17.0,61.0,-3.0,-19.0
2025-01-01 09:30:28,AAPL,141.66,158.12,191.92,108.27,187.67,141.69,158.14,191.95,108.31,187.7,49,11,85,26,63,89,86,59,27,49,560,-0.87,3.0,-62.0,52.0,19.0,-14.0
2025-01-01 09:30:29,AAPL,103.68,113.39,101.37,107.54,169.17,103.71,113.43,101.42,107.57,169.20999999999998,74,74,83,17,85,78,73,1,51,45,816,-0.59,11.0,13.0,58.0,-24.0,4.0
2025-01-01 09:30:30,AAPL,187.82,175.7,104.69,126.87,102.22,187.85,175.73,104.73,126.89,102.26,5,94,94,57,17,47,23,79,85,14,677,0.61,-69.0,20.0,11.0,40.0,31.0
2025-01-01 09:30:31,AAPL,190.32,161.73,198.05,160.81,163.66,190.35,161.73999999999998,198.09,160.84,163.69,79,30,51,81,5,29,4,10,56,17,429,0.54,74.0,19.0,-43.0,24.0,-12.0
2025-01-01 09:30:32,AAPL,106.62,104.59,162.08,134.74,120.91,106.65,104.61,162.11,134.77,120.94,75,16,8,4,4,56,25,67,96,67,766,0.34,-27.0,-21.0,-57.0,-40.0,-50.0
2025-01-01 09:30:33,AAPL,117.23,119.23,104.09,116.89,127.86,117.25,119.24,104.1,116.92,127.88,34,49,78,90,45,27,73,26,47,86,338,0.02,-41.0,33.0,41.0,49.0,41.0
2025-01-01 09:30:34,AAPL,115.7,137.73,100.26,186.83,108.45,115.73,137.78,100.29,186.88,108.47,28,87,78,88,2,26,14,59,56,7,102,0.79,1.0,38.0,-33.0,-2.0,79.0
2025-01-01 09:30:35,AAPL,151.17,153.21,110.72,144.74,153.26,151.19,153.23000000000002,110.75,144.75,153.28,86,90,44,25,17,13,84,25,68,10,166,0.3,58.0,3.0,-34.0,-12.0,15.0
2025-01-01 09:30:36,AAPL,147.96,158.42,173.68,155.77,158.65,147.99,158.45,173.70000000000002,155.82000000000002,158.68,59,56,59,70,33,53,22,21,70,70,602,-0.02,-40.0,-34.0,15.0,45.0,16.0
2025-01-01 09:30:37,AAPL,185.08,108.79,180.59,105.57,184.23,185.09,108.8,180.63,105.62,184.28,84,92,75,4,79,6,94,51,62,57,293,0.11,25.0,-72.0,16.0,8.0,46.0
2025-01-01 09:30:38,AAPL,157.16,128.0,176.95,118.7,132.37,157.19,128.03,176.97,118.71,132.4,64,38,37,11,77,3,33,6,50,10,360,-0.87,3.0,-54.0,45.0,7.0,47.0
2025-01-01 09:30:39,AAPL,199.0,132.24,180.99,125.46,168.15,199.04,132.27,181.02,125.49,168.17000000000002,49,69,62,60,50,78,75,9,34,76,646,0.85,-15.0,31.0,25.0,49.0,-27.0
2025-01-01 09:30:40,AAPL,172.16,104.81,178.15,182.79,175.05,172.2,104.85,178.17000000000002,182.81,175.09,62,4,89,42,89,18,40,72,39,14,899,-0.07,60.0,35.0,-63.0,-18.0,39.0
2025-01-01 09:30:41,AAPL,130.14,174.76,150.27,123.22,189.96,130.17,174.79,150.32000000000002,123.25,189.97,6,67,7,51,72,42,64,15,29,33,577,0.79,-24.0,63.0,57.0,10.0,-17.0
2025-01-01 09:30:42,AAPL,178.86,115.17,131.17,124.85,174.39,178.87,115.2,131.20999999999998,124.9,174.41,38,13,31,47,88,52,56,15,29,8,360,-0.03,32.0,8.0,0.0,-4.0,25.0
2025-01-01 09:30:43,AAPL,140.9,177.19,101.22,159.84,156.55,140.94,177.22,101.26,159.89,156.57000000000002,6,72,23,47,90,46,12,90,13,62,309,0.22,6.0,59.0,-75.0,0.0,-54.0
2025-01-01 09:30:44,AAPL,101.81,187.21,193.21,156.51,169.67,101.86,187.25,193.23,156.54,169.7,51,29,78,40,41,86,11,23,1,46,712,0.97,-40.0,-43.0,55.0,12.0,-49.0
2025-01-01 09:30:45,AAPL,183.89,112.47,192.08,186.99,151.88,183.92,112.5,192.09,187.01,151.92,26,41,35,63,25,90,75,38,2,7,309,-0.04,-25.0,-64.0,-15.0,23.0,39.0
2025-01-01 09:30:46,AAPL,191.85,158.71,103.28,191.27,124.82,191.88,158.73000000000002,103.29,191.29,124.86,22,26,28,85,49,71,81,84,49,20,729,0.72,-4.0,-15.0,-46.0,22.0,-13.0
2025-01-01 09:30:47,AAPL,153.51,118.45,129.96,130.99,139.73,153.54,118.49,129.98000000000002,131.02,139.76,93,30,16,40,19,18,1,78,47,66,601,-0.12,53.0,80.0,-12.0,2.0,-30.0
2025-01-01 09:30:48,AAPL,140.08,155.96,115.52,118.19,186.18,140.13000000000002,155.98000000000002,115.54,118.23,186.21,87,55,92,32,50,7,93,8,65,57,858,-0.49,11.0,25.0,70.0,-18.0,31.0
