timestamp,stock,volume,price_change
2025-01-01 09:30:00,AAPL,260,-0.39
2025-01-01 09:30:01,AAPL,700,0.93
2025-01-01 09:30:02,AAPL,655,0.88
2025-01-01 09:30:03,AAPL,620,0.54
2025-01-01 09:30:04,AAPL,783,0.28
2025-01-01 09:30:05,AAPL,330,-0.18
2025-01-01 09:30:06,AAPL,476,0.3
2025-01-01 09:30:07,AAPL,486,-0.4
2025-01-01 09:30:08,AAPL,936,0.26
2025-01-01 09:30:09,AAPL,971,-0.72
2025-01-01 09:30:10,AAPL,230,0.71
2025-01-01 09:30:11,AAPL,900,-0.01
2025-01-01 09:30:12,AAPL,978,-0.01
2025-01-01 09:30:13,AAPL,352,-0.23
2025-01-01 09:30:14,AAPL,576,-0.41
2025-01-01 09:30:15,AAPL,764,-0.69
2025-01-01 09:30:16,AAPL,755,0.95
2025-01-01 09:30:17,AAPL,803,0.11
2025-01-01 09:30:18,AAPL,456,-0.2
2025-01-01 09:30:19,AAPL,790,0.64
2025-01-01 09:30:20,AAPL,600,-0.3
2025-01-01 09:30:21,AAPL,316,-0.52
2025-01-01 09:30:22,AAPL,990,-0.57
2025-01-01 09:30:23,AAPL,492,0.64
2025-01-01 09:30:24,AAPL,138,-0.13
2025-01-01 09:30:25,AAPL,928,-0.35
2025-01-01 09:30:26,AAPL,457,-0.09
2025-01-01 09:30:27,AAPL,352,0.88
2025-01-01 09:30:28,AAPL,560,-0.87
2025-01-01 09:30:29,AAPL,816,-0.59
2025-01-01 09:30:30,AAPL,677,0.61
2025-01-01 09:30:31,AAPL,429,0.54
2025-01-01 09:30:32,AAPL,766,0.34
2025-01-01 09:30:33,AAPL,338,0.02
2025-01-01 09:30:34,AAPL,102,0.79
2025-01-01 09:30:35,AAPL,166,0.3
2025-01-01 09:30:36,AAPL,602,-0.02
2025-01-01 09:30:37,AAPL,293,0.11
2025-01-01 09:30:38,AAPL,360,-0.87
2025-01-01 09:30:39,AAPL,646,0.85
2025-01-01 09:30:40,AAPL,899,-0.07
2025-01-01 09:30:41,AAPL,577,0.79
2025-01-01 09:30:42,AAPL,360,-0.03
2025-01-01 09:30:43,AAPL,309,0.22
2025-01-01 09:30:44,AAPL,712,0.97
2025-01-01 09:30:45,AAPL,309,-0.04
2025-01-01 09:30:46,AAPL,729,0.72
2025-01-01 09:30:47,AAPL,601,-0.12
2025-01-01 09:30:48,AAPL,858,-0.49
2025-01-01 09:30:49,AAPL,106,0.27
2025-01-01 09:30:50,AAPL,152,-0.41
2025-01-01 09:30:51,AAPL,826,0.37
2025-01-01 09:30:52,AAPL,784,0.68
2025-01-01 09:30:53,AAPL,168,-0.03
2025-01-01 09:30:54,AAPL,230,-0.84
2025-01-01 09:30:55,AAPL,584,0.38
2025-01-01 09:30:56,AAPL,826,0.59
